C;1;Oncevay, Arturo;2017;Ship-LemmaTagger: Building an NLP Toolkit for a Peruvian Native Language;International Conference on Text, Speech, and Dialogue;Czech Republic
J;2;Paz, Freddy;2019;Application of a New Questionnaire to Measure the Usability: A Case Study in the E-Commerce Domain;International Journal of Advanced Trends in Computer Science and Engineering;8
J;3;Balage Filho, Pedro;2013;An Evaluation of the Brazilian Portuguese LIWC Dictionary for Sentiment Analysis;Brazilian Symposium in Information and Human Language Technology (STIL);5
C;4;Blair-Goldensohn, Sasha;2008;Building a Sentiment Summarizer for Local Service Reviews;WWW Workshop on NLP in the Information Explosion Era;China
J;5;Guanira, Miguel;2017;A genetic algorithm to solve 3D traveling salesman problem with initial population based on a GRASP algorithm;Journal of Computational Methods in Sciences and Engineering;17
C;6;Carletta, Jean;1996;Assessing Agreement on Classification Tasks: The Kappa Statistic; Computational Linguistics;USA
C;7;Jack G., Conrad;2009; Query-based Opinion Summarization for Legal Blog Entries;International Conference on Artificial Intelligence and Law;USA
C;8;Tupia, Manuel;2017;A bat algorithm for job scheduling in ceramics production lines;International Conference on Infocom Technologies and Unmanned Systems;DUBAI
J;9;Ganesan Kavita;2010;Opinosis: A Graph-Based Approach to Abstractive Summarization of Highly Redundant Opinions;Computational Linguistics;23
J;10;Lin, Chin-Yew;2000;The Automated Acquisition of Topic Signatures for Text Summarization;Computational Linguistics;18
J;11;Lin, Chin-Yew;2004;Looking for a Few Good Metrics: Automatic Summarization Evaluation-How 70 many Samples are Enough?;NTCIR Workshop;18
C;12;Tadano, Ryosuke;2010;Multi-aspects Review Summarization Based on Identification of Important Opinions and their Similarity;Pacific Asia Conference on Language;Japan
C;13;Cueva, Rony;2020; Implementation of a Memetic Algorithm to Optimize the Loading of Kilns for the Sanitary Ware Production;International Conference on Agents and Artificial Intelligence;Malta
